Effective Date;Meter Category;Meter Subcategory;Region;Name;Resource ID;Tags;Included Quantities;Minimum Value;AUD;CAD;CHF;DKK;EUR;GBP;INR;JPY;KRW;NOK;NZD;RUB;SEK;TWD;USD
01/11/2016;Analysis Services;Tabular;;Developer (Hours);8e338e85-4baa-4d2b-b688-9b9ef57414d8;;0;0;0,07145457;0,06821199;0,05066391;0,35305974;0,04730913;0,03427149;3,37090875;5,7222;67,32;0,45520101;0,08376291;3,50625;0,44157432;1,74064275;0,0561
01/11/2016;Analysis Services;Tabular;;Standard S1 (Hours);fa22ebb4-a4dd-4407-a476-8ba85b72688f;;0;0;1,098884675;1,049017725;0,779149525;5,42963085;0,727557075;0,527053975;51,84049063;88,0005;1035,3;7,000439775;1,288172025;53,921875;6,7908778;26,76897563;0,86275
01/11/2016;Analysis Services;Tabular;;Standard S2 (Hours);9901af91-2b08-4f58-8aa1-d54ab42054fe;;0;0;2,19776935;2,09803545;1,55829905;10,8592617;1,45511415;1,05410795;103,6809813;176,001;2070,6;14,00087955;2,57634405;107,84375;13,5817556;53,53795125;1,7255
01/11/2016;Analysis Services;Tabular;;Standard S4 (Hours);13a77aea-c723-4d48-b479-56d36fa53e62;;0;0;4,390125475;4,190903325;3,112759925;21,69177645;2,906644275;2,105619575;207,1065906;351,5685;4136,1;27,96727418;5,146342425;215,421875;27,1300586;106,9440356;3,44675
01/11/2016;App Services;API Management;;Developer API Management Units;7fd385bc-796c-45c8-b0bc-278bb675b15e;;0;0;53,049605;50,642235;37,614115;262,12011;35,123445;25,443985;2502,644375;4248,3;49980;337,952265;62,187615;2603,125;327,83548;1292,295375;41,65
01/11/2016;App Services;API Management;;Premium API Management;5c2baada-d524-4027-94cb-43c225469a15;;0;0;3084,455605;2944,484235;2186,992115;15240,41211;2042,177445;1479,385985;145510,8944;247008,3;2905980;19649,51027;3615,765615;151353,125;19061,29148;75137,74538;2421,65
01/11/2016;App Services;API Management;;Standard API Management Units;e6236d80-a06e-4aa1-a0af-f1d566b27093;;0;0;756,768855;722,426985;536,576865;3739,22361;501,046695;362,966235;35700,98813;60603,3;712980;4820,992515;887,125365;37134,375;4676,67348;18434,98913;594,15
01/11/2016;App Services;Automation;;Automation DSC;da02f8be-997c-44a8-bb21-deb811177a5a;;0;0;6,49587;6,20109;4,60581;32,09634;4,30083;3,11559;306,44625;520,2;6120;41,38191;7,61481;318,75;40,14312;158,24025;5,1
01/11/2016;App Services;Automation;;Automation DSC - Free;fb4b3d8f-c59c-42c7-84f7-94b6e39f2606;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2016;App Services;Automation;;Basic Automation Minutes;95eca2c1-9519-4c55-baa1-9a0e0b201e25;;0;0;0,00216529;0,00206703;0,00153527;0,01069878;0,00143361;0,00103853;0,10214875;0,1734;2,04;0,01379397;0,00253827;0,10625;0,01338104;0,05274675;0,0017
01/11/2016;App Services;Automation;;Free Automation Minutes;02f4525d-e44e-433d-b8ac-bc0c4e4048fa;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2016;App Services;Automation;;Standard Automation Unit;f2dee52c-2ead-4685-b743-d2cac3073ded;;0;0;21,6529;20,6703;15,3527;106,9878;14,3361;10,3853;1021,4875;1734;20400;137,9397;25,3827;1062,5;133,8104;527,4675;17
01/11/2016;App Services;Key Vault;;HSM-key;1b0fd2b5-5164-44c7-942d-02aac243b8c7;;0;0;1,082645;1,033515;0,767635;5,34939;0,716805;0,519265;51,074375;86,7;1020;6,896985;1,269135;53,125;6,69052;26,373375;0,85
01/11/2016;App Services;Key Vault;;Operations (in 10,000s);0f824807-2376-435c-95c9-f992b67a07b0;;0;0;0,03247935;0,03100545;0,02302905;0,1604817;0,02150415;0,01557795;1,53223125;2,601;30,6;0,20690955;0,03807405;1,59375;0,2007156;0,79120125;0,0255
01/11/2016;App Services;Log Analytics;;Free Data Analyzed (GB);2073b0aa-c836-4642-9d97-0635f52e3520;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2016;App Services;Log Analytics;;Premium Data Analyzed (GB);36293e8f-ac3c-45cf-bd4e-dc2542bdba03;;0;0;3,7892575;3,6173025;2,6867225;18,722865;2,5088175;1,8174275;178,7603125;303,45;3570;24,1394475;4,4419725;185,9375;23,41682;92,3068125;2,975
01/11/2016;App Services;Log Analytics;;Standard Data Analyzed (GB);99762400-c6ee-4f87-91ba-0508f1638e21;;0;0;2,4900835;2,3770845;1,7655605;12,303597;1,6486515;1,1943095;117,4710625;199,41;2346;15,8630655;2,9190105;122,1875;15,388196;60,6587625;1,955
01/11/2016;App Services;Mobile Engagement;;Active Users;e0d5dad9-c5ce-433d-bea3-2b4c699c3d5e;;100;0;0,01082645;0,01033515;0,00767635;0,0534939;0,00716805;0,00519265;0,51074375;0,867;10,2;0,06896985;0,01269135;0,53125;0,0669052;0,26373375;0,0085
01/11/2016;App Services;Mobile Engagement;;Active Users;e0d5dad9-c5ce-433d-bea3-2b4c699c3d5e;;100;99900;0,005304961;0,005064224;0,003761412;0,026212011;0,003512345;0,002544399;0,250264438;0,42483;4,998;0,033795227;0,006218762;0,2603125;0,032783548;0,129229538;0,004165
01/11/2016;App Services;Mobile Engagement;;Active Users;e0d5dad9-c5ce-433d-bea3-2b4c699c3d5e;;100;499900;0,003680993;0,003513951;0,002609959;0,018187926;0,002437137;0,001765501;0,173652875;0,29478;3,468;0,023449749;0,004315059;0,180625;0,022747768;0,089669475;0,00289
01/11/2016;App Services;Mobile Engagement;;Active Users;e0d5dad9-c5ce-433d-bea3-2b4c699c3d5e;;100;2999900;0,003247935;0,003100545;0,002302905;0,01604817;0,002150415;0,001557795;0,153223125;0,2601;3,06;0,020690955;0,003807405;0,159375;0,02007156;0,079120125;0,00255
01/11/2016;App Services;Mobile Engagement;;Active Users;e0d5dad9-c5ce-433d-bea3-2b4c699c3d5e;;100;5999900;0,002923142;0,002790491;0,002072615;0,014443353;0,001935374;0,001402016;0,137900813;0,23409;2,754;0,01862186;0,003426665;0,1434375;0,018064404;0,071208113;0,002295
01/11/2016;App Services;Mobile Engagement;;Active Users;e0d5dad9-c5ce-433d-bea3-2b4c699c3d5e;;100;9999900;0,002706613;0,002583788;0,001919088;0,013373475;0,001792013;0,001298163;0,127685938;0,21675;2,55;0,017242463;0,003172838;0,1328125;0,0167263;0,065933438;0,002125
01/11/2016;Automation and Control;OMS Automation and Control;;Included per Node (Minute);ffb38d30-ebbb-4d2d-bfc0-adeb056db796;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2016;Automation and Control;OMS Automation and Control;;Overage per Node (Minute);3845957f-7838-429c-b826-c091edb6fe16;;0;0;0,00216529;0,00206703;0,00153527;0,01069878;0,00143361;0,00103853;0,10214875;0,1734;2,04;0,01379397;0,00253827;0,10625;0,01338104;0,05274675;0,0017
01/11/2016;Automation and Control;OMS Automation and Control;;Paid Nodes (Node);6d63a798-4f02-45b7-9a47-6b4c2ff43585;;0;0;10,82645;10,33515;7,67635;53,4939;7,16805;5,19265;510,74375;867;10200;68,96985;12,69135;531,25;66,9052;263,73375;8,5
01/11/2016;Azure App Service;;;Basic Large App Service Hours;7ce53686-7c67-470b-ae6f-3996cbb02fbb;;0;0;0,3247935;0,3100545;0,2302905;1,604817;0,2150415;0,1557795;15,3223125;26,01;306;2,0690955;0,3807405;15,9375;2,007156;7,9120125;0,255
01/11/2016;Azure App Service;;;Basic Medium App Service Hours;4f1fa8fe-ffed-48fa-9969-26a150775b60;;0;0;0,16239675;0,15502725;0,11514525;0,8024085;0,10752075;0,07788975;7,66115625;13,005;153;1,03454775;0,19037025;7,96875;1,003578;3,95600625;0,1275
01/11/2016;Azure App Service;;;Basic Small App Service Hours;ba302f7a-078b-4141-a636-a76315ba44ce;;0;0;0,081198375;0,077513625;0,057572625;0,40120425;0,053760375;0,038944875;3,830578125;6,5025;76,5;0,517273875;0,095185125;3,984375;0,501789;1,978003125;0,06375
